ref,position,strand,diff,height,from,decide,comment
NC_009648.1,149,+,126,129,tex_hcd_kf_09,y,
NC_009648.1,149,+,127,128,tex_hcd_kf_10,,
NC_009648.1,149,+,83,86,tex_lcd_kf_01,,
NC_009648.1,149,+,71,72,tex_lcd_kf_02,,
NC_009648.1,2603,+,76,76,tex_hcd_kf_09,y,
NC_009648.1,2603,+,44,56,tex_hcd_kf_10,,
NC_009648.1,2603,+,49,58,tex_lcd_kf_01,,
NC_009648.1,2603,+,52,64,tex_lcd_kf_02,,
NC_009648.1,7589,-,10,10,tex_hcd_kf_09,n,
NC_009648.1,7589,-,14,15,tex_hcd_kf_10,,
NC_009648.1,8070,+,11,11,tex_lcd_kf_01,n,
NC_009648.1,8142,-,29,29,tex_hcd_kf_09,y,
NC_009648.1,8142,-,51,53,tex_lcd_kf_01,,
NC_009648.1,8142,-,45,45,tex_lcd_kf_02,,
NC_009648.1,8219,+,167,171,tex_hcd_kf_09,y,
NC_009648.1,8219,+,101,102,tex_hcd_kf_10,,
NC_009648.1,8219,+,98,99,tex_lcd_kf_01,,
NC_009648.1,8219,+,100,104,tex_lcd_kf_02,,
NC_009648.1,8226,+,35,205,tex_hcd_kf_09,n,
NC_009648.1,8226,+,28,129,tex_hcd_kf_10,,
NC_009648.1,8226,+,30,129,tex_lcd_kf_01,,
NC_009648.1,8226,+,29,133,tex_lcd_kf_02,,
NC_009648.1,8622,+,12,76,tex_hcd_kf_09,n,
NC_009648.1,8637,+,18,91,tex_hcd_kf_09,n,
NC_009648.1,8657,+,12,99,tex_hcd_kf_09,n,
NC_009648.1,8685,+,20,90,tex_hcd_kf_09,n,
NC_009648.1,8927,+,19,78,tex_hcd_kf_09,n,
NC_009648.1,8927,+,22,89,tex_hcd_kf_10,,
NC_009648.1,8979,+,11,100,tex_hcd_kf_09,n,
NC_009648.1,8987,+,18,126,tex_hcd_kf_10,n,
NC_009648.1,9021,+,24,112,tex_hcd_kf_10,n,
NC_009648.1,9039,+,14,130,tex_hcd_kf_10,n,
NC_009648.1,9261,+,18,21,tex_lcd_kf_01,n,
NC_009648.1,9261,+,13,15,tex_lcd_kf_02,,
NC_009648.1,9290,+,46,60,tex_hcd_kf_09,y,
NC_009648.1,9290,+,30,40,tex_hcd_kf_10,,
NC_009648.1,9290,+,111,131,tex_lcd_kf_01,,
NC_009648.1,9290,+,123,138,tex_lcd_kf_02,,
NC_009648.1,9651,+,15,22,tex_hcd_kf_09,m,
NC_009648.1,9651,+,46,52,tex_hcd_kf_10,,
NC_009648.1,9781,-,18,21,tex_lcd_kf_01,m,
NC_009648.1,9937,+,12,14,tex_hcd_kf_09,y,
NC_009648.1,9937,+,18,22,tex_hcd_kf_10,,
NC_009648.1,9937,+,25,25,tex_lcd_kf_01,,
NC_009648.1,9937,+,21,23,tex_lcd_kf_02,,
NC_009648.1,12013,-,47,47,tex_lcd_kf_01,y,
NC_009648.1,12013,-,55,55,tex_lcd_kf_02,,
NC_009648.1,12030,+,44,45,tex_hcd_kf_09,y,
NC_009648.1,12030,+,38,38,tex_hcd_kf_10,,
NC_009648.1,12030,+,76,76,tex_lcd_kf_01,,
NC_009648.1,12030,+,78,78,tex_lcd_kf_02,,
NC_009648.1,12798,+,13,13,tex_lcd_kf_02,n,
NC_009648.1,13497,+,360,362,tex_hcd_kf_09,y,
NC_009648.1,13497,+,59,59,tex_hcd_kf_10,,
NC_009648.1,13497,+,335,337,tex_lcd_kf_01,,
NC_009648.1,13497,+,444,447,tex_lcd_kf_02,,
NC_009648.1,13570,+,254,607,tex_hcd_kf_09,m,
NC_009648.1,13570,+,216,545,tex_lcd_kf_01,,
NC_009648.1,13570,+,219,661,tex_lcd_kf_02,,
NC_009648.1,13572,+,93,146,tex_hcd_kf_10,,
NC_009648.1,13591,+,78,644,tex_hcd_kf_09,n,
NC_009648.1,13677,+,16,58,tex_hcd_kf_09,n,
NC_009648.1,13752,+,15,27,tex_lcd_kf_01,n,
NC_009648.1,13754,+,47,99,tex_hcd_kf_09,n,
NC_009648.1,13801,+,62,156,tex_hcd_kf_09,n,
NC_009648.1,13801,+,20,52,tex_lcd_kf_01,n,
NC_009648.1,13819,+,27,172,tex_hcd_kf_09,n,
NC_009648.1,13858,+,13,125,tex_hcd_kf_09,n,
NC_009648.1,13866,-,10,10,tex_hcd_kf_09,y,
NC_009648.1,13866,-,10,10,tex_hcd_kf_10,,
NC_009648.1,13866,-,15,15,tex_lcd_kf_02,,
NC_009648.1,13866,-,12,12,tex_lcd_kf_01,,
NC_009648.1,13908,+,19,77,tex_hcd_kf_09,n,
NC_009648.1,13938,+,115,192,tex_hcd_kf_09,n,
NC_009648.1,13938,+,26,41,tex_hcd_kf_10,n,
NC_009648.1,13938,+,54,73,tex_lcd_kf_01,n,
NC_009648.1,13938,+,56,73,tex_lcd_kf_02,n,
NC_009648.1,13946,+,40,231,tex_hcd_kf_09,n,
NC_009648.1,13946,+,18,91,tex_lcd_kf_02,n,
NC_009648.1,13979,+,38,253,tex_hcd_kf_09,n,
NC_009648.1,14019,+,13,139,tex_hcd_kf_09,n,
NC_009648.1,14049,+,25,119,tex_hcd_kf_09,n,
NC_009648.1,14057,+,12,37,tex_lcd_kf_02,n,
NC_009648.1,14076,+,77,154,tex_hcd_kf_09,n,
NC_009648.1,14076,+,15,25,tex_hcd_kf_10,n,
NC_009648.1,14076,+,38,57,tex_lcd_kf_01,n,
NC_009648.1,14076,+,38,71,tex_lcd_kf_02,n,
NC_009648.1,14204,+,60,117,tex_hcd_kf_09,n,
NC_009648.1,14253,+,27,147,tex_hcd_kf_09,n,
NC_009648.1,14254,+,27,147,tex_hcd_kf_09,n,
NC_009648.1,14307,+,31,109,tex_hcd_kf_09,n,
NC_009648.1,14325,+,77,198,tex_hcd_kf_09,n,
NC_009648.1,14325,+,16,50,tex_lcd_kf_01,n,
NC_009648.1,14325,+,33,67,tex_lcd_kf_02,n,
NC_009648.1,14373,+,25,104,tex_lcd_kf_02,n,
NC_009648.1,14374,+,58,242,tex_hcd_kf_09,n,
NC_009648.1,14378,+,14,60,tex_lcd_kf_01,n,
NC_009648.1,14403,+,23,162,tex_hcd_kf_09,n,
NC_009648.1,14504,+,95,144,tex_hcd_kf_09,n,
NC_009648.1,14645,+,30,131,tex_hcd_kf_09,n,
NC_009648.1,14689,+,30,145,tex_hcd_kf_09,n,
NC_009648.1,14787,+,31,109,tex_hcd_kf_09,n,
NC_009648.1,14966,+,46,126,tex_hcd_kf_09,n,
NC_009648.1,14997,+,73,186,tex_hcd_kf_09,n,
NC_009648.1,14997,+,15,49,tex_lcd_kf_02,n,
NC_009648.1,15085,+,19,88,tex_hcd_kf_09,n,
NC_009648.1,15135,+,19,99,tex_hcd_kf_09,n,
NC_009648.1,15186,+,39,136,tex_hcd_kf_09,n,
NC_009648.1,15233,+,19,115,tex_hcd_kf_09,n,
NC_009648.1,15251,+,10,107,tex_hcd_kf_09,n,
NC_009648.1,15280,+,52,119,tex_hcd_kf_09,n,
NC_009648.1,15318,+,38,146,tex_hcd_kf_09,n,
NC_009648.1,15371,+,32,125,tex_hcd_kf_09,n,
NC_009648.1,15371,+,13,32,tex_lcd_kf_01,n,
NC_009648.1,15371,+,15,53,tex_lcd_kf_02,n,
NC_009648.1,15386,+,55,181,tex_hcd_kf_09,n,
NC_009648.1,15386,+,12,35,tex_hcd_kf_10,n,
NC_009648.1,15386,+,22,74,tex_lcd_kf_02,n,
NC_009648.1,15401,+,49,207,tex_hcd_kf_09,n,
NC_009648.1,15401,+,14,54,tex_lcd_kf_01,n,
NC_009648.1,15401,+,18,80,tex_lcd_kf_02,n,
NC_009648.1,15620,-,23,31,tex_hcd_kf_10,y,
NC_009648.1,15620,-,18,24,tex_lcd_kf_01,,
NC_009648.1,15620,-,23,23,tex_lcd_kf_02,,
NC_009648.1,16218,+,16,28,tex_hcd_kf_09,n,
NC_009648.1,16894,+,16,16,tex_hcd_kf_09,y,
NC_009648.1,16894,+,65,65,tex_lcd_kf_01,,
NC_009648.1,16894,+,52,53,tex_lcd_kf_02,,
NC_009648.1,18030,+,34,38,tex_lcd_kf_01,y,
NC_009648.1,18031,+,24,26,tex_lcd_kf_02,,
NC_009648.1,18033,+,23,23,tex_hcd_kf_10,,
NC_009648.1,18185,+,21,22,tex_hcd_kf_10,n,
NC_009648.1,19293,-,14,50,tex_lcd_kf_02,n,
NC_009648.1,19365,+,67,73,tex_hcd_kf_09,y,
NC_009648.1,19365,+,52,59,tex_hcd_kf_10,,
NC_009648.1,19365,+,44,46,tex_lcd_kf_01,,
NC_009648.1,19365,+,48,49,tex_lcd_kf_02,,
NC_009648.1,19476,-,470,483,tex_hcd_kf_09,y,
NC_009648.1,19476,-,646,655,tex_hcd_kf_10,,
NC_009648.1,19476,-,5821,5854,tex_lcd_kf_01,,
NC_009648.1,19476,-,5112,5137,tex_lcd_kf_02,,
NC_009648.1,19567,-,550,550,tex_hcd_kf_09,y,sRNA?
NC_009648.1,19567,-,881,882,tex_hcd_kf_10,,
NC_009648.1,19567,-,2364,2368,tex_lcd_kf_01,,
NC_009648.1,19567,-,2528,2531,tex_lcd_kf_02,,
NC_009648.1,19742,+,65,67,tex_hcd_kf_09,y,
NC_009648.1,19742,+,66,67,tex_hcd_kf_10,,
NC_009648.1,19742,+,166,166,tex_lcd_kf_02,,
NC_009648.1,19743,+,169,169,tex_lcd_kf_01,,
NC_009648.1,20070,-,28,28,tex_lcd_kf_02,n,
NC_009648.1,20093,+,22,30,tex_hcd_kf_09,y,
NC_009648.1,20093,+,18,26,tex_hcd_kf_10,,
NC_009648.1,20093,+,35,44,tex_lcd_kf_01,,
NC_009648.1,20093,+,62,74,tex_lcd_kf_02,,
NC_009648.1,20585,+,33,40,tex_lcd_kf_02,y,
NC_009648.1,20586,+,66,69,tex_hcd_kf_09,,
NC_009648.1,20586,+,22,33,tex_lcd_kf_01,,
NC_009648.1,20600,+,24,62,tex_lcd_kf_02,n,
NC_009648.1,20610,+,23,61,tex_hcd_kf_10,n,
NC_009648.1,21504,+,19,24,tex_lcd_kf_02,n,
NC_009648.1,21791,+,13,28,tex_hcd_kf_09,n,
NC_009648.1,23309,+,14,40,tex_hcd_kf_09,m,
NC_009648.1,23309,+,30,45,tex_hcd_kf_10,,
NC_009648.1,23371,+,34,70,tex_hcd_kf_09,y,
NC_009648.1,23371,+,33,72,tex_hcd_kf_10,,
NC_009648.1,23371,+,41,55,tex_lcd_kf_01,,
NC_009648.1,23371,+,49,66,tex_lcd_kf_02,,
NC_009648.1,23972,+,10,29,tex_lcd_kf_02,n,
NC_009648.1,25234,+,224,229,tex_hcd_kf_09,y,internal
NC_009648.1,25234,+,268,271,tex_hcd_kf_10,,
NC_009648.1,25234,+,148,154,tex_lcd_kf_02,,
NC_009648.1,25234,+,120,123,tex_lcd_kf_01,,
NC_009648.1,25617,+,15,15,tex_hcd_kf_09,y,
NC_009648.1,25617,+,22,26,tex_hcd_kf_10,,
NC_009648.1,25617,+,20,23,tex_lcd_kf_02,,
NC_009648.1,27910,+,12,14,tex_hcd_kf_09,y,
NC_009648.1,29550,-,11,12,tex_hcd_kf_09,y,
NC_009648.1,29550,-,13,14,tex_hcd_kf_10,,
NC_009648.1,29550,-,10,11,tex_lcd_kf_01,,
NC_009648.1,29550,-,10,12,tex_lcd_kf_02,,
NC_009648.1,40180,+,12,12,tex_lcd_kf_02,n,
NC_009648.1,40992,+,14,20,tex_lcd_kf_01,y,
NC_009648.1,40992,+,14,22,tex_lcd_kf_02,,
NC_009648.1,41675,+,22,32,tex_hcd_kf_10,m,
NC_009648.1,41675,+,18,21,tex_lcd_kf_01,,
NC_009648.1,41675,+,17,20,tex_lcd_kf_02,,
NC_009648.1,42254,+,144,144,tex_hcd_kf_09,y,
NC_009648.1,42254,+,158,158,tex_hcd_kf_10,,
NC_009648.1,42254,+,252,252,tex_lcd_kf_01,,
NC_009648.1,42254,+,269,269,tex_lcd_kf_02,,
NC_009648.1,43198,-,22,22,tex_hcd_kf_09,y,
NC_009648.1,43198,-,23,23,tex_hcd_kf_10,,
NC_009648.1,43499,+,23,25,tex_hcd_kf_09,m,
NC_009648.1,43590,+,12,13,tex_hcd_kf_10,y,
NC_009648.1,43590,+,23,23,tex_lcd_kf_01,,
NC_009648.1,43590,+,19,20,tex_lcd_kf_02,,
NC_009648.1,44430,-,14,14,tex_lcd_kf_01,n,
NC_009648.1,45353,+,21,24,tex_lcd_kf_01,n,
NC_009648.1,45401,+,12,25,tex_hcd_kf_09,n,
NC_009648.1,45487,+,12,20,tex_hcd_kf_10,n,
NC_009648.1,46004,+,15,16,tex_lcd_kf_02,n,
NC_009648.1,47389,+,86,87,tex_hcd_kf_10,y,
NC_009648.1,47389,+,34,34,tex_hcd_kf_09,,
NC_009648.1,47389,+,38,38,tex_lcd_kf_01,,
